step,loss,rmse_s_loss,rmse_r_loss,rmse_s_metric,rmse_r_metric,skill_s_metric
0,0.0036449353210628033,0.012258916161954403,0.0081000542268157,0.012258916161954403,0.0081000542268157,0.002761950629905252
50,0.002256621140986681,0.008842000737786293,0.0015079161385074258,0.008842000737786293,0.0015079161385074258,0.28072111336854255
100,0.00180746428668499,0.007502012886106968,0.001427534851245582,0.007502012886106968,0.001427534851245582,0.3897264164258786
150,0.0011595272226259112,0.006485017016530037,0.0012997876619920135,0.006485017016530037,0.0012997876619920135,0.4724569746412839
200,0.0008495466900058091,0.005672942381352186,0.0012548479717224836,0.005672942381352186,0.0012548479717224836,0.5385176046699816
250,0.0006712422473356128,0.005129911005496979,0.0012298192596063018,0.005129911005496979,0.0012298192596063018,0.582692109401913
300,0.0006220238283276558,0.004984070546925068,0.001220286008901894,0.004984070546925068,0.001220286008901894,0.5945559359020778
350,0.0004415216972120106,0.004543905146420002,0.0011976411333307624,0.004543905146420002,0.0011976411333307624,0.6303625014745025
400,0.00039865358849056065,0.0045339930802583694,0.0011884826235473156,0.0045339930802583694,0.0011884826235473156,0.6311688280203134
450,0.00032428803388029337,0.004114304669201374,0.0011646620696410537,0.004114304669201374,0.0011646620696410537,0.6653096318937113
